
   INFO  Server running on [http://127.0.0.1:1111].  

  Press Ctrl+C to stop the server
  2026-04-11 00:02:03 /dashboard ................................... ~ 0.34ms
  2026-04-11 00:02:03 /assets/index-DR89kFEU.css ................... ~ 0.18ms
  2026-04-11 00:02:03 /assets/index-BE2xzawI.js .................... ~ 2.30ms
  2026-04-11 00:02:03 /api/v1/me ................................... ~ 0.55ms
  2026-04-11 00:02:03 /api/v1/dashboard/dosen ...................... ~ 0.11ms
  2026-04-11 00:02:04 /favicon.ico ................................. ~ 0.25ms
  2026-04-11 00:02:08 /favicon.ico ............................... ~ 500.31ms
  2026-04-11 00:02:17 /api/v1/portfolios ........................... ~ 0.46ms
  2026-04-11 00:02:18 /favicon.ico ................................. ~ 0.06ms
  2026-04-11 00:02:19 /api/v1/payments ............................. ~ 0.29ms
  2026-04-11 00:02:19 /favicon.ico ................................. ~ 0.07ms
  2026-04-11 00:02:20 /api/v1/dashboard/dosen ...................... ~ 0.12ms
  2026-04-11 00:02:20 /favicon.ico ................................. ~ 0.07ms
  2026-04-11 00:02:33 /dashboard ................................... ~ 0.39ms
  2026-04-11 00:02:33 /assets/index-DR89kFEU.css ................... ~ 0.13ms
  2026-04-11 00:02:33 /assets/index-BE2xzawI.js .................... ~ 0.77ms
  2026-04-11 00:02:34 /favicon.ico ................................. ~ 0.14ms
  2026-04-11 00:02:34 /api/v1/captcha .............................. ~ 1.12ms
  2026-04-11 00:02:34 /favicon.ico ................................. ~ 1.52ms
  2026-04-11 00:02:41 /api/v1/login .............................. ~ 501.46ms
  2026-04-11 00:02:42 /api/v1/dashboard/admin ...................... ~ 0.09ms
  2026-04-11 00:02:42 /favicon.ico ................................. ~ 0.68ms
  2026-04-11 00:02:52 /api/v1/payments ........................... ~ 505.24ms
  2026-04-11 00:02:52 /favicon.ico ................................. ~ 0.14ms
  2026-04-11 00:02:54 /api/v1/dashboard/admin ...................... ~ 0.29ms
  2026-04-11 00:02:54 /favicon.ico ............................... ~ 505.18ms
  2026-04-11 00:04:51 /dashboard ................................. ~ 505.60ms
  2026-04-11 00:04:51 /assets/index-DR89kFEU.css ................... ~ 0.07ms
  2026-04-11 00:04:51 /assets/index-BE2xzawI.js .................... ~ 0.40ms
  2026-04-11 00:04:51 /api/v1/me ................................... ~ 0.05ms
  2026-04-11 00:04:51 /favicon.ico ................................. ~ 0.05ms
  2026-04-11 00:04:51 /api/v1/dashboard/admin ...................... ~ 0.05ms
  2026-04-11 00:05:09 /api/v1/payments ............................. ~ 0.33ms
  2026-04-11 00:05:09 /favicon.ico ................................. ~ 0.16ms
  2026-04-11 00:05:10 /api/v1/dashboard/admin ...................... ~ 0.15ms
  2026-04-11 00:05:10 /favicon.ico ................................. ~ 0.05ms
  2026-04-11 00:05:11 /api/v1/payments ............................. ~ 0.28ms
  2026-04-11 00:05:11 /favicon.ico ................................. ~ 0.13ms
  2026-04-11 00:05:13 /api/v1/payments ............................. ~ 0.16ms
  2026-04-11 00:14:26 /favicon.ico ............................... ~ 506.55ms
  2026-04-11 00:14:45 /api/v1/dashboard/dosen ...................... ~ 2.27ms
  2026-04-11 00:14:45 /favicon.ico ............................... ~ 501.59ms
  2026-04-11 00:14:46 /favicon.ico ................................. ~ 0.13ms
  2026-04-11 00:14:47 /api/v1/portfolios ......................... ~ 502.72ms
  2026-04-11 00:14:47 /favicon.ico ............................... ~ 503.95ms
  2026-04-11 00:14:48 /api/v1/payments ............................. ~ 0.12ms
  2026-04-11 00:14:48 /favicon.ico ................................. ~ 0.05ms
